config,sigma,Df,N,kf,attempt,seed,success,n_particles,max_residual_overlap,n_overlapping_pairs,measured_rg,rg_error_pct,filepath
vanilla,1.25,2.2,8,0.6,1,1479804274,True,8,0.0,0,2.554333773766928,-13.97444842314535,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p25_agg1_20260731-042713-261104.dat
vanilla,1.25,2.2,8,0.6,3,1896193993,True,8,0.0,0,2.621953619902265,-13.34951809743715,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p25_agg3_20260731-042713-274074.dat
vanilla,1.25,2.2,8,0.6,2,559945172,True,8,0.0,0,3.00683291643978,-13.114715599177963,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p25_agg2_20260731-042713-293075.dat
vanilla,1.25,2.2,8,0.6,4,1437930493,True,8,0.0,0,2.7852857459053517,-12.788034043741042,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p25_agg4_20260731-042713-307214.dat
vanilla,1.25,2.4,8,0.6,0,1311503854,True,8,0.0,0,2.5451377704860096,-10.546245588229029,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p25_agg0_20260731-042713-333722.dat
vanilla,1.25,2.4,8,0.6,1,469817870,True,8,0.0,0,2.4816480049866545,-10.28870103075758,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p25_agg1_20260731-042713-354177.dat
vanilla,1.25,2.4,8,0.6,2,166737475,True,8,0.0,0,2.4487258143934603,-11.865246042627414,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p25_agg2_20260731-042713-364020.dat
vanilla,1.25,2.4,8,0.6,3,1443227473,True,8,0.0,0,2.425601996327148,-10.535329432721884,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p25_agg3_20260731-042713-372123.dat
vanilla,1.25,2.4,8,0.6,4,765649168,True,8,0.0,0,2.4950906318172272,-9.815331738357717,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p25_agg4_20260731-042713-376255.dat
vanilla,1.25,2.6,8,0.6,0,1885152512,True,8,0.0,0,2.5501627923580426,-8.403501896089251,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p25_agg0_20260731-042713-384494.dat
vanilla,1.25,2.6,8,0.6,1,1748585089,True,8,0.0,0,2.1724562033294754,-5.457032858059612,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p25_agg1_20260731-042713-391625.dat
vanilla,1.25,2.6,8,0.6,2,1906883606,True,8,0.0,0,2.191455368769226,-8.182148618851462,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p25_agg2_20260731-042713-410832.dat
vanilla,1.25,2.6,8,0.6,3,1757894408,True,8,0.0,0,2.3146279931268463,-7.556527277797391,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p25_agg3_20260731-042713-415518.dat
vanilla,1.25,2.6,8,0.6,4,1020138408,True,8,0.0,0,2.3774513800761086,-6.453464023985954,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p25_agg4_20260731-042713-419696.dat
vanilla,1.5,1.6,8,1.0,0,304682,True,8,0.0,0,3.229145311924063,-10.5498063142007,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_1p60__N_8/fracval_N8_Df1p60_kf1p00_rpg1p0_rpgstd1p50_agg0_20260731-042713-424432.dat
vanilla,1.5,1.6,8,1.0,4,1703253987,True,8,0.0,0,3.5344523598508135,-11.484398967185353,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_1p60__N_8/fracval_N8_Df1p60_kf1p00_rpg1p0_rpgstd1p50_agg4_20260731-042713-429467.dat
vanilla,1.5,1.8,8,0.6,0,1056564672,True,8,0.0,0,2.430210647566493,-33.02450380505181,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_1p80__N_8/fracval_N8_Df1p80_kf0p60_rpg1p0_rpgstd1p50_agg0_20260731-042713-441584.dat
vanilla,1.5,1.6,8,1.0,3,958612279,True,8,0.0,0,3.518464458360388,-11.086355260040907,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_1p60__N_8/fracval_N8_Df1p60_kf1p00_rpg1p0_rpgstd1p50_agg3_20260731-042713-448870.dat
